timestamp,open,high,low,close,volume
2020-07-02,193.8500,197.9164,192.6592,195.6700,12632758
2020-06-30,194.7100,202.1800,186.2100,193.1700,192101473
2020-05-29,174.4500,198.2900,171.7200,195.2400,189585116
2020-04-30,156.3200,182.2500,150.6000,178.7200,263495312
2020-03-31,186.3200,194.4900,133.9300,161.1200,417542977
2020-02-28,199.9400,214.1700,172.9835,181.7600,199776179
2020-01-31,189.0000,210.1300,187.1630,198.9700,183582543
2019-12-31,184.2400,189.8862,179.6600,187.9000,160394084
2019-11-29,180.1300,184.8500,175.1800,184.5100,134065026
2019-10-31,173.0200,180.1800,168.5900,178.8600,162923578
2019-09-30,180.5200,187.0500,172.0100,172.0100,171931176
2019-08-30,179.1900,182.4000,166.9750,180.8200,154470525
2019-07-31,175.3300,184.0700,172.7400,178.0000,126736340
2019-06-28,161.5400,174.9400,156.7500,173.5500,158885114
2019-05-31,165.5400,165.7700,156.4200,161.3300,147282119
2019-04-30,157.5300,165.7000,156.3200,164.4300,136490658
2019-03-29,149.4600,156.8200,144.5000,156.1900,207401562
2019-02-28,135.3900,148.8200,135.2600,148.1200,154776247
2019-01-31,130.0000,139.9000,127.8800,135.0100,193205412
2018-12-31,145.0000,145.7200,121.6000,131.9400,242677721
2018-11-30,139.0000,145.4600,129.5400,141.7100,208766205
2018-10-31,150.8900,151.5600,129.7900,137.8500,254092004
2018-09-28,146.9300,150.6400,142.5400,150.0900,147500495
2018-08-31,137.7400,147.7100,137.0000,146.8900,143157273
2018-07-31,131.9600,143.1400,131.1500,136.7400,161562542
2018-06-29,131.8400,136.6900,129.5300,132.4500,154720393
2018-05-31,126.8600,132.5000,125.3217,130.7200,147562270
2018-04-30,119.2700,127.9000,116.7102,126.8800,165231144
2018-03-29,123.2600,125.4400,116.0300,119.6200,182392051
2018-02-28,124.7400,126.2600,111.0201,122.9400,183890719
2018-01-31,114.5700,126.8800,113.9500,124.2300,144967375
2017-12-29,112.3800,114.9199,106.6000,114.0200,175640154
2017-11-30,110.5000,113.6200,106.9000,112.5900,136052597
2017-10-31,105.5400,110.7400,104.8977,109.9800,140428442
2017-09-29,104.0400,106.8350,102.2600,105.2400,137450408
2017-08-31,100.3600,104.2000,99.4300,103.5200,148740209
2017-07-31,94.3800,101.1800,93.1900,99.5600,154989518
2017-06-30,95.4000,96.6000,92.8000,93.7800,197251059
2017-05-31,91.2900,95.5300,91.1400,95.2300,155976358
2017-04-28,89.1400,92.8000,88.1300,91.2200,156139058
2017-03-31,88.7400,92.0500,87.8500,88.8700,176898019
2017-02-28,82.9000,88.4900,81.5700,87.9400,167783472
2017-01-31,78.7600,84.2700,78.4900,82.7100,159153885
2016-12-30,77.5700,80.3900,75.1700,78.0200,244868085
2016-11-30,82.6400,83.9600,77.2800,77.3200,234696164
2016-10-31,82.4200,83.7000,81.1100,82.5100,178635744
2016-09-30,81.1400,83.7900,80.9700,82.7000,179003676
2016-08-31,78.3100,81.7600,77.7300,80.9000,149237623
2016-07-29,74.5000,80.1700,73.8300,78.0500,183918469
2016-06-30,78.6900,81.7100,73.2500,74.1700,233222035
