timestamp,open,high,low,close,volume
2020-07-02,295.9600,306.8900,295.1200,302.4200,7065868
2020-06-30,300.8000,316.0600,285.1500,295.7000,90048840
2020-05-29,268.7000,310.0000,263.0100,300.8900,89072601
2020-04-30,230.9400,285.0000,227.1000,274.9700,140346895
2020-03-31,298.8900,314.5900,199.9900,241.5600,213092350
2020-02-28,318.8000,347.2500,273.5500,290.2500,106212105
2020-01-31,300.4600,327.0872,296.0250,315.9400,81391722
2019-12-31,290.5900,301.5300,281.5000,298.5900,57810068
2019-11-29,279.0000,293.0000,268.4200,292.2300,61941778
2019-10-31,271.4900,280.4400,258.5100,276.8100,80273740
2019-09-30,279.9900,293.6900,266.6100,271.5700,79164008
2019-08-30,273.9300,282.9600,253.9000,281.3700,77381651
2019-07-31,269.9900,283.3300,264.8722,272.2700,62248094
2019-06-28,251.8000,269.8500,240.2500,264.5300,76232162
2019-05-31,254.9000,258.8600,239.9600,251.4900,85032644
2019-04-30,238.3000,257.4290,233.1200,254.2400,65397625
2019-03-29,226.8800,237.0800,215.9258,235.4500,65956468
2019-02-28,211.9900,225.6000,211.2000,224.7700,62001686
2019-01-31,185.8300,212.9700,180.9800,211.1300,90428656
2018-12-31,206.0100,209.9100,171.8900,188.6500,100285779
2018-11-30,198.8900,208.8600,177.4000,201.0700,92166101
2018-10-31,224.8400,225.3500,183.7500,197.6700,126423572
2018-09-28,215.6800,224.3600,209.7000,222.6100,60647188
2018-08-31,199.2700,215.8603,197.8700,215.5600,61785017
2018-07-31,195.7400,214.2800,194.7500,198.0000,72080746
2018-06-29,192.0300,204.0000,191.9000,196.5200,67718503
2018-05-31,178.2700,194.7200,176.9100,190.1200,80297845
2018-04-30,174.6400,180.0000,167.9400,178.2700,82958991
2018-03-29,176.3500,183.7300,168.5500,175.1600,79202783
2018-02-28,172.5100,179.1700,156.8000,175.7600,95250905
2018-01-31,152.0100,170.8100,151.1200,169.0000,65933051
2017-12-29,150.4000,154.6500,140.6100,151.3600,64504555
2017-11-30,149.9500,154.6500,145.2800,150.4700,69327747
2017-10-31,141.9000,152.0000,141.3200,148.7700,69790714
2017-09-29,133.8400,143.5900,131.6800,141.2000,75098940
2017-08-31,128.6600,134.5000,127.5900,133.3000,56569720
2017-07-31,122.2500,132.1989,120.6500,127.8000,63628111
2017-06-30,122.8000,126.1900,119.8900,121.4500,72655390
2017-05-31,116.5400,122.9800,115.5500,122.8800,72583030
2017-04-28,112.7000,117.3700,111.0100,116.3200,49523703
2017-03-31,111.4200,113.5000,110.1300,112.4700,65076456
2017-02-28,106.6300,111.0000,104.0100,110.4600,62917415
