timestamp,open,high,low,close,volume
2020-07-02,164.3200,165.4700,162.3700,163.8700,3703063
2020-06-30,154.4700,167.4300,139.6800,164.1800,97966190
2020-05-29,153.7200,162.3700,143.6200,152.9500,65382744
2020-04-30,134.0000,164.9000,132.9800,154.6400,79529821
2020-03-31,127.7400,144.0000,117.0600,138.7200,149904037
2020-02-28,140.5300,147.8700,121.5100,126.1300,73118696
2020-01-31,131.7700,143.7200,130.2300,139.6400,76612365
2019-12-31,117.5200,137.0000,115.9200,131.4300,71189503
2019-11-29,114.0700,118.4600,110.5100,117.3500,60562165
2019-10-31,111.9400,114.6650,101.3600,113.9500,74256464
2019-09-30,112.5400,117.2300,106.4000,111.8300,71433734
2019-08-30,109.0200,116.1400,107.4400,112.9700,75888210
2019-07-31,111.3100,115.4650,105.1470,108.9500,85980388
2019-06-28,116.5300,118.9400,110.0200,110.7900,85962167
2019-05-31,117.0500,119.5340,113.8700,115.9400,92251813
2019-04-30,130.7100,131.3500,113.6500,117.0400,117713399
2019-03-29,127.2500,132.1300,121.9600,129.7600,659368487
2019-02-28,120.3200,127.7700,116.8600,126.2900,284952333
2019-01-31,114.7900,120.1400,111.1000,119.8600,101289476
2018-12-31,118.6400,119.8400,105.6700,115.7200,100231974
2018-11-30,108.7400,118.7100,104.9500,118.6400,100551609
2018-10-31,107.6700,116.6100,104.1701,108.4400,112531242
2018-09-28,105.3100,107.8400,103.6550,107.3100,68632506
2018-08-31,98.7400,106.4900,97.8400,105.6500,78294755
2018-07-31,85.0600,99.2000,84.7100,98.8100,78820240
2018-06-29,85.2000,87.2700,84.3600,85.3300,73329271
2018-05-31,80.6800,85.1100,77.0900,85.0400,86813099
2018-04-30,76.8800,83.5550,75.4000,81.0700,86521052
2018-03-29,77.0600,80.4900,74.5100,77.3700,85125857
2018-02-28,81.5400,83.0300,73.6900,77.0200,116818024
2018-01-31,84.4600,88.3300,81.2700,81.4500,93506744
2017-12-29,84.9800,89.0899,84.1800,84.4600,67009777
2017-11-30,82.1700,85.4800,81.4200,84.6400,53592425
2017-10-31,85.7800,89.0900,81.7200,81.9400,79278440
2017-09-29,81.5400,85.6100,79.0500,85.5400,69177335
2017-08-31,81.9000,82.7400,76.8900,81.2900,74170965
2017-07-31,82.4100,85.5300,80.7700,82.6600,71760808
2017-06-30,79.6000,84.7600,78.7500,82.3000,79239780
2017-05-31,82.0900,83.1119,76.8500,79.5700,84990423
2017-04-28,84.1300,86.7200,79.8800,82.0600,71088160
2017-03-31,83.4400,86.1400,81.3700,84.1100,82515007
2017-02-28,77.9000,83.4800,76.5500,82.8100,67247245
2017-01-31,73.9400,78.1200,73.5400,77.0300,97535917
2016-12-30,67.2900,74.4900,65.6600,73.5500,132236366
2016-11-30,73.8100,79.7000,64.1800,67.1200,165744166
2016-10-31,80.0000,83.2400,73.8000,73.8400,81947425
2016-09-30,77.7500,81.4600,76.4500,80.2600,76070947
2016-08-31,83.0200,83.7850,77.5300,77.7500,69797810
2016-07-29,78.8900,83.5900,78.3700,82.8900,74232402
2016-06-30,74.9000,78.8100,71.8700,78.7500,103821081
2016-05-31,75.9500,78.7100,73.3400,75.0300,86472050
2016-04-29,71.6000,78.5000,71.5300,75.5300,76179471
2016-03-31,72.6300,74.9500,67.8800,72.0100,117671029
2016-02-29,78.2100,79.1600,70.4300,72.0000,104140173
2016-01-29,83.4000,85.4000,76.5400,79.1000,116114988
